symbol,opm_percentage,net_profit_margin,debt_to_equity,compounded_sales_growth,roe,cash_conversion,dividend_payout,kmeans_cluster,dbscan_cluster,PCA1,PCA2,cluster_label,sector
ABB,17.923076923076923,13.646582446130013,0.019970230689180475,,,2.8287914266683947,49.416666666666664,0,0,0.689335248056022,0.019942098838181824,"High Growth, Low Debt",Unknown
ADANIENSOL,52.3,10.199100838237918,3.0047222401451723,,,4.296190777222323,0.0,4,0,-0.9224814322824991,0.07004496804038961,Moderate Balanced Performers,Unknown
ADANIENT,9.153846153846153,2.8360746948807125,1.7773294072252876,,,4.06376118374935,7.666666666666667,4,0,-0.6373939010979541,-0.014387966449714946,Moderate Balanced Performers,Unknown
ADANIGREEN,69.55555555555556,1.664185268412926,8.294497608037105,,,-1.1046677052394922,0.0,1,0,-0.9107628471480161,-0.4737706542593362,Stable Dividend Companies,Unknown
ADANIPORTS,60.46153846153846,35.93529274663004,1.2759998688472922,,,1.4423872639917388,13.0,4,0,-0.3323899817999408,0.38762024806992273,Moderate Balanced Performers,Unknown
ADANIPOWER,28.384615384615383,2.004204346587545,10.188930282240213,,,-1.0259665242217346,0.0,1,0,-1.0110213330917586,-0.5596687982160782,Stable Dividend Companies,Unknown
AMBUJACEM,17.923076923076923,11.314275643200956,0.008702107456848178,,,1.3247041993975202,44.916666666666664,0,0,0.6372706505670009,-0.039591603299351644,"High Growth, Low Debt",Unknown
APOLLOHOSP,12.76923076923077,4.530434393938071,0.8172603355001778,,,3.521884969008703,29.666666666666668,4,0,0.05847188134523974,-0.04909076589715925,Moderate Balanced Performers,Unknown
ASIANPAINT,18.846153846153847,12.464459033776278,0.0963884072225765,,,0.9795083433031865,48.416666666666664,0,0,0.7489556091009837,-0.05194287568203551,"High Growth, Low Debt",Unknown
ATGL,27.625,16.707488789511864,0.4956492254849686,,,1.0935941121494526,5.428571428571429,4,0,-0.4916270489692498,0.16913920289593704,Moderate Balanced Performers,Unknown
AXISBANK,1111.923076923077,14.284209924104221,9.004988362441928,,,-8.415041993086353,8.75,1,0,-0.23911232245635144,-0.5765035093937076,Stable Dividend Companies,Unknown
BAJAJ-AUTO,18.692307692307693,16.812154339167,0.02389567529200182,,,0.788837357176733,49.75,0,0,0.7989883704073459,0.003154663198347551,"High Growth, Low Debt",Unknown
BAJAJFINSV,39.69230769230769,16.57380492285194,3.4511297846622915,,,-3.620660867907113,1.5,1,0,-0.5127719465949537,-0.10240244008329873,Stable Dividend Companies,Unknown
BAJAJHLDNG,83.76923076923077,591.936836700258,0.001263327277933323,,,0.3116878079495377,18.166666666666668,2,-1,-0.14478348138263847,8.412541721878187,Highly Leveraged Firms,Unknown
BAJFINANCE,8883.181818181818,21.028555722131642,4.3574335602822325,,,-5.557513434960912,12.2,1,0,0.684323023502847,-0.1489279962746382,Stable Dividend Companies,Unknown
BANKBARODA,-2741.6923076923076,6.782138789150854,14.142868675584618,,,6.497022885682358,10.833333333333334,4,0,-1.5341293916931535,-0.5157792098531254,Moderate Balanced Performers,Unknown
BEL,20.46153846153846,16.397807356583666,1.66143530422806,,,0.6700457632594863,34.583333333333336,0,0,0.2963045765055711,-0.024618767310362413,"High Growth, Low Debt",Unknown
BHARTIARTL,40.53846153846154,0.8662740913769528,2.0379676248026604,,,6.430988879447708,54.916666666666664,0,0,0.5724409396994509,-0.17832630174685532,"High Growth, Low Debt",Unknown
BHEL,3.5384615384615383,1.2438768889704184,0.14593637361691575,,,-0.8191486017169177,36.166666666666664,0,0,0.4891072330318741,-0.21973635975785089,"High Growth, Low Debt",Unknown
BOSCHLTD,15.307692307692308,11.394408869951896,0.009345139595596661,,,0.9869180433347374,38.25,0,0,0.465133955741131,-0.021255314225812005,"High Growth, Low Debt",Unknown
BPCL,5.538461538461538,3.2443696819884287,1.217929005435939,,,2.215626407589039,48.75,0,0,0.6426440207173553,-0.20446830936445196,"High Growth, Low Debt",Unknown
BRITANNIA,14.76923076923077,10.382522057744499,0.4105674293542727,,,1.0762853313471459,61.166666666666664,0,0,1.0893288315709213,-0.1467297821260887,"High Growth, Low Debt",Unknown
CANBK,-8527.615384615385,4.773663804808068,15.716221553031241,,,4.810817404105604,9.666666666666666,4,0,-2.112211194323126,-0.6906349452411822,Moderate Balanced Performers,Unknown
CHOLAFIN,2083.230769230769,15.561529565819617,6.984810744752756,,,-6.5217408524617015,10.583333333333334,1,0,-0.08980764554279891,-0.4060529339120936,Stable Dividend Companies,Unknown
CIPLA,3666.0,12.227890991012202,0.16575528716030638,,,1.3133165499506658,16.666666666666668,1,0,0.17914117496675958,0.09581286897760315,Stable Dividend Companies,Unknown
COALINDIA,24799.69230769231,18.640942997448892,0.07940610497473223,,,1.1895377661833633,82.0,0,-1,4.052260875135929,0.005727827592003898,"High Growth, Low Debt",Unknown
DABUR,19.23076923076923,15.426283295306536,0.18646569725441903,,,1.036994194144382,43.75,0,0,0.6093651446293311,0.00717273613917094,"High Growth, Low Debt",Unknown
DIVISLAB,36.0,26.459194044161492,0.005899642339662531,,,0.8942265996414349,32.25,0,0,0.3000406807533953,0.21802727649045395,"High Growth, Low Debt",Unknown
DLF,31.692307692307693,22.176538356856888,0.532218285557715,,,2.0243463852126626,40.0,0,0,0.4378997192199412,0.13240946986033247,"High Growth, Low Debt",Unknown
DMART,7.769230769230769,4.389540920809787,0.2846018688317441,,,1.0895666332417149,0.0,1,0,-0.6348048268156965,0.02391486601544517,Stable Dividend Companies,Unknown
DRREDDY,21.46153846153846,13.28461914370613,0.2850898224337605,,,1.3553079185253203,19.5,4,0,-0.09644989667080835,0.08027481251635192,Moderate Balanced Performers,Unknown
EICHERMOT,22.53846153846154,17.99531435863411,0.02023935882915579,,,1.0826192139650699,23.583333333333332,4,0,0.044853258383618505,0.1363427713825765,Moderate Balanced Performers,Unknown
GAIL,11.846153846153847,8.18064085366812,0.2662558136175538,,,1.3084976159397244,36.666666666666664,0,0,0.39206317681445746,-0.06413813311200457,"High Growth, Low Debt",Unknown
GODREJCP,19.615384615384617,11.528155532465101,0.45446759814902526,,,0.6872835906900844,24.636363636363637,4,0,0.07362583244403698,0.005655057870772067,Moderate Balanced Performers,Unknown
GRASIM,19.46153846153846,9.073992609580513,1.0056679949601588,,,0.7379554345596446,11.333333333333334,4,0,-0.33163929164948097,-0.0007929023227433348,Moderate Balanced Performers,Unknown
HAL,20.153846153846153,17.283184440289343,0.18655166776908788,,,0.750581729277814,32.0,0,0,0.291045708249006,0.07352222994286442,"High Growth, Low Debt",Unknown
HAVELLS,11.153846153846153,8.128575302421583,0.15728831542547878,,,1.2548816990834453,35.0,0,0,0.35283456699474636,-0.05431737711578384,"High Growth, Low Debt",Unknown
HCLTECH,23.0,16.629068023304896,0.07283241582827268,,,1.106731388738142,42.583333333333336,0,0,0.578657195655451,0.036967881718214274,"High Growth, Low Debt",Unknown
HDFCBANK,3586.3846153846152,22.500597371760236,7.94284957789571,,,-0.3868326847252193,17.916666666666668,1,0,-0.08985562631929403,-0.19396242908383846,Stable Dividend Companies,Unknown
HDFCLIFE,823.6923076923077,2.9182051249641954,0.02358809902097877,,,6.261340280236487,20.333333333333332,4,0,-0.22453546115352063,0.08983719399636043,Moderate Balanced Performers,Unknown
HEROMOTOCO,4393.333333333333,10.015027068769642,0.030580083133965052,,,1.099803547626707,59.63636363636363,0,0,1.48117070895379,-0.10890740570896072,"High Growth, Low Debt",Unknown
HINDALCO,16042.23076923077,3.4481268193890466,1.1236078059402814,,,3.340415544774295,2.0833333333333335,1,-1,0.8017326765278167,0.09188839505384812,Stable Dividend Companies,Unknown
HINDUNILVR,9301.307692307691,15.343146086484357,0.01692129741031845,,,1.059433701668073,87.58333333333333,0,-1,2.7416210413940347,-0.127453546186773,"High Growth, Low Debt",Unknown
ICICIBANK,-29575.30769230769,21.568470432419442,7.113696999986769,,,3.1842488894431855,16.333333333333332,4,-1,-3.4339917775949904,-0.1861971211623299,Moderate Balanced Performers,Unknown
ICICIGI,1117.6923076923076,10.340543264438672,0.038291972258577174,,,1.6663047633324108,19.833333333333332,4,0,0.01464019889379856,0.062234416639523366,Moderate Balanced Performers,Unknown
ICICIPRULI,286.6923076923077,3.843261920672158,0.05261952604250482,,,2.070300455011614,38.333333333333336,0,0,0.4388095048828779,-0.09918709818003588,"High Growth, Low Debt",Unknown
INDIGO,4218.692307692308,2.219071590600798,0.6274125331532372,,,-3.2059984001642747,38.916666666666664,0,0,1.0632979033795815,-0.2949522324943119,"High Growth, Low Debt",Unknown
INDUSINDBK,356.0769230769231,17.089880148592542,7.686689663097972,,,0.33032371272871563,12.333333333333334,1,0,-0.5780852517811774,-0.22805111007119233,Stable Dividend Companies,Unknown
INFY,26.153846153846153,19.87940983243869,0.03964764843649459,,,0.9085094549279087,50.09090909090909,0,0,0.8022254137892677,0.048814225165422054,"High Growth, Low Debt",Unknown
IOC,6.3076923076923075,3.045960488404651,0.9655921404316063,,,2.052908676956068,4.416666666666667,4,0,-0.5906609743504451,-0.01822935642060051,Moderate Balanced Performers,Unknown
IRCTC,26.727272727272727,21.461523777407127,0.015891253503146564,,,0.9768443633526088,44.3,0,0,0.6360704728990467,0.09855155058386025,"High Growth, Low Debt",Unknown
IRFC,99.61538461538461,19.37306388271311,8.573979646907306,,,-14.03079212325177,23.916666666666668,1,0,0.39100426019343276,-0.7157216877718245,Stable Dividend Companies,Unknown
ITC,36.46153846153846,26.582385776496892,0.003914013418237162,,,0.9674132750535812,71.83333333333333,0,0,1.4159704028907427,0.0599734264961866,"High Growth, Low Debt",Unknown
JINDALSTEL,23.53846153846154,2.5808707000653994,1.0833118292950388,,,-1.9858740346554349,2.1666666666666665,1,0,-0.4587691240608289,-0.14195877794731887,Stable Dividend Companies,Unknown
JIOFIN,83.33333333333333,79.02276800171416,0.002170230167075567,,,32.93394633705156,0.0,4,-1,-2.197807323774071,2.064567147610864,Moderate Balanced Performers,Unknown
JSWENERGY,38.69230769230769,12.113250757322906,1.171034976970551,,,6.589064003695872,23.166666666666668,4,0,-0.29275199989533796,0.16114159605094158,Moderate Balanced Performers,Unknown
JSWSTEEL,18.53846153846154,5.230496740274183,1.4797434435200776,,,1.9256447114064992,18.5,4,0,-0.21031284195266567,-0.07339344390538977,Moderate Balanced Performers,Unknown
KOTAKBANK,-6058.923076923077,26.827545811534783,4.653248685340162,,,1.3039568634924337,1.9166666666666667,4,0,-1.3861748831980507,0.10732750565401997,Moderate Balanced Performers,Unknown
LICI,1.5714285714285714,2.2776605512001367,83.64325463855985,,,8.908772806687166,7.833333333333333,3,-1,-4.86543271113619,-3.8968173763083658,Strong Profitability Leaders,Unknown
LODHA,23.23076923076923,10.33925888316905,3.3856815516995065,,,7.801159585706925,3.090909090909091,4,0,-1.0296214140378654,0.14519046618006817,Moderate Balanced Performers,Unknown
LT,15.76923076923077,6.711370689294926,0.0753339000387082,,,0.2728044110033672,31.25,0,0,0.29994598836433267,-0.0846613196010951,"High Growth, Low Debt",Unknown
LTIM,19.46153846153846,14.929051158351529,0.0753339000387082,,,0.9615935018102094,44.083333333333336,0,0,0.6280298788743193,0.001843291196509627,"High Growth, Low Debt",Unknown
M&M,14.76923076923077,6.029855568593684,1.652799680092003,,,1.3915568128180233,37.416666666666664,0,0,0.3421291953664928,-0.16378842273186697,"High Growth, Low Debt",Unknown
MARUTI,12.153846153846153,7.930660125108535,0.020886948345230676,,,1.3349228311212888,27.333333333333332,4,0,0.1388412596045941,-0.01668464651674853,Moderate Balanced Performers,Unknown
MOTHERSON,8.384615384615385,3.2306342395420975,1.1547812597696396,,,2.529078653828915,29.833333333333332,4,0,0.09554371040415531,-0.11472794108895897,Moderate Balanced Performers,Unknown
NAUKRI,12.23076923076923,84.36008246645878,0.006088587192096385,,,-0.9945812594026194,-15.666666666666666,1,0,-0.9722042564180892,1.1926897014033782,Stable Dividend Companies,Unknown
NESTLEIND,22.307692307692307,13.63283419497848,0.09768060625158467,,,1.325737209905373,79.16666666666667,0,0,1.6015647773796415,-0.15074950053133318,"High Growth, Low Debt",Unknown
NHPC,55.61538461538461,35.89022110833812,0.7159168449276448,,,1.5901950437252836,49.25,0,0,0.7123223222550666,0.2703908060410112,"High Growth, Low Debt",Unknown
NTPC,26.615384615384617,13.014694966635913,1.3438234985976563,,,1.906701895747009,36.25,0,0,0.29889241380575027,-0.027707378177157942,"High Growth, Low Debt",Unknown
ONGC,19.615384615384617,9.181464522677022,0.42995522666264857,,,2.415999826155813,38.166666666666664,0,0,0.37237786415363494,-0.030803020554120427,"High Growth, Low Debt",Unknown
PFC,31.0,22.590178031792203,8.379947640994466,,,-3.5592484674759888,25.666666666666668,1,0,-0.07443653145892526,-0.3547499519900123,Stable Dividend Companies,Unknown
PIDILITIND,19.846153846153847,13.490889863838278,0.0437722506059494,,,1.064786475198382,34.666666666666664,0,0,0.35840621584568083,0.024302218623572163,"High Growth, Low Debt",Unknown
PNB,20.46153846153846,1.0493965349450076,8.136311238131178,,,1.42182758163632,8.5,1,0,-0.792095562357048,-0.4344813243830403,Stable Dividend Companies,Unknown
POWERGRID,85.46153846153847,31.3078390919758,2.1311690601270614,,,2.62227248989194,41.916666666666664,0,0,0.38841274648741664,0.1958037777095248,"High Growth, Low Debt",Unknown
RECLTD,93.23076923076923,25.084538358088384,6.4680990281834125,,,-3.9524791363955742,30.333333333333332,0,0,0.17579355571742117,-0.25554177822746976,"High Growth, Low Debt",Unknown
RELIANCE,14.307692307692308,8.271148846449119,0.6599374219724088,,,1.5996322769976663,10.416666666666666,4,0,-0.38365384877745456,0.034048760060127206,Moderate Balanced Performers,Unknown
SBILIFE,2.3846153846153846,2.9265012187858535,0.0,,,9.735079761519637,13.166666666666666,4,0,-0.6760453118823078,0.22084923526885708,Moderate Balanced Performers,Unknown
SBIN,-18.46153846153846,8.491732551053442,0.5227029033792763,,,-62.74811618817916,82.75,0,-1,4.844863953922905,-2.1727275791294796,"High Growth, Low Debt",Unknown
SHREECEM,24.615384615384617,12.748575234616455,0.19576987870008106,,,1.8230655711210417,17.25,4,0,-0.17845878973161913,0.10011625540856188,Moderate Balanced Performers,Unknown
SHRIRAMFIN,23.76923076923077,16.464085594678536,4.728892253222957,,,-3.765256830101036,15.0,1,0,-0.18766734460025317,-0.22636944578062995,Stable Dividend Companies,Unknown
SIEMENS,10.0,10.368966922992382,0.0046802425610069165,,,0.6378224175881496,26.5,4,0,0.14995731821536312,0.001870395813276472,Moderate Balanced Performers,Unknown
SUNPHARMA,28.846153846153847,17.706724106209673,0.1586798326222038,,,1.3419239202929372,27.083333333333332,4,0,0.12491234317495661,0.11881572533107074,Moderate Balanced Performers,Unknown
TATACONSUM,11.846153846153847,6.3367857890892765,0.1704087552869626,,,0.8890054348039328,-44.5,1,-1,-1.8776792607044308,0.23387857796948333,Stable Dividend Companies,Unknown
TATAMOTORS,11.76923076923077,1.4664940279287455,1.6694309897823227,,,2.1805080484692603,4.25,4,0,-0.635261402707224,-0.07103860920240829,Moderate Balanced Performers,Unknown
TATAPOWER,16.076923076923077,4.740954838684893,2.6192543710129548,,,51.61560007961992,4.333333333333333,4,-1,-3.1218410605518496,1.4045167088173698,Moderate Balanced Performers,Unknown
TATASTEEL,11.923076923076923,2.7490876565285065,1.5342791010787384,,,-0.13069764027884098,-10.583333333333334,1,0,-0.9341303730548245,-0.054133206130917724,Stable Dividend Companies,Unknown
TCS,27.46153846153846,20.95282900197702,0.04384302144021616,,,0.763076690943899,51.0,0,0,0.8348884471537391,0.05602818967335439,"High Growth, Low Debt",Unknown
TECHM,16.307692307692307,11.423930302211025,0.10669196605604607,,,1.1879994545700363,48.0,0,0,0.726273525071471,-0.059534040863918065,"High Growth, Low Debt",Unknown
TITAN,10.076923076923077,6.610075677503845,0.6377505182511705,,,0.7810465154462737,28.75,4,0,0.17617514096614073,-0.08834381629978877,Moderate Balanced Performers,Unknown
TORNTPHARM,27.76923076923077,14.40654009048408,0.8227047502996899,,,1.6327095477445381,48.083333333333336,0,0,0.6724071998900552,-0.038695203700118724,"High Growth, Low Debt",Unknown
TRENT,8.692307692307692,3.4430791540047667,0.5131875212008375,,,0.9495850932200551,7.75,4,0,-0.4196436021949357,-0.03686611175904936,Moderate Balanced Performers,Unknown
TVSMOTOR,9.846153846153847,3.5901400533458885,2.2663016504930087,,,0.34641271442425386,26.166666666666668,4,0,0.0455721459303619,-0.21421556099565375,Moderate Balanced Performers,Unknown
ULTRACEMCO,20.153846153846153,10.2073697518064,0.4399893477060554,,,1.7714660159988382,14.333333333333334,4,0,-0.2703695751236662,0.06187419670610731,Moderate Balanced Performers,Unknown
UNIONBANK,-10.076923076923077,3.4132957213237587,16.133102359219063,,,0.31463328258200146,11.5,1,0,-1.0458124227623724,-0.8383551852905994,Stable Dividend Companies,Unknown
UNITDSPR,8.76923076923077,0.7737235444199254,1.5763698526754746,,,0.17127712648933305,1.25,1,0,-0.616476224747226,-0.12414681447070461,Stable Dividend Companies,Unknown
VBL,19.307692307692307,5.659204595853277,0.5227029033792763,,,1.6769790459885856,10.166666666666666,4,0,-0.3870054052724754,0.006474342284780557,Moderate Balanced Performers,Unknown
VEDL,22.615384615384617,11.805591890211243,1.3368422726751634,,,0.8329307396540346,80.83333333333333,0,0,1.612900158315644,-0.2594506496590353,"High Growth, Low Debt",Unknown
WIPRO,20.53846153846154,15.712264137004356,0.22651670681142105,,,1.0935941121494526,14.25,4,0,-0.22956482037284828,0.13184216837903218,Moderate Balanced Performers,Unknown
ZOMATO,-44.875,-33.58514411800093,0.15386120369341727,,,1.0845779987530313,0.0,1,0,-0.6278240786896153,-0.5175963190502508,Stable Dividend Companies,Unknown
ZYDUSLIFE,22.46153846153846,16.161641468946257,0.49581798303214347,,,1.0249200198992392,19.833333333333332,4,0,-0.08128861601591927,0.10019538147510573,Moderate Balanced Performers,Unknown
