symbol,trend_label,forecast_year,forecast_sales
ABB,UP,,
ADANIENSOL,UP,,
ADANIENT,UP,,
ADANIGREEN,UP,,
ADANIPORTS,UP,,
ADANIPOWER,UP,,
AMBUJACEM,UP,,
APOLLOHOSP,UP,,
ASIANPAINT,UP,,
ATGL,UP,,
AXISBANK,UP,,
BAJAJ-AUTO,UP,,
BAJAJFINSV,UP,,
BAJAJHLDNG,UP,,
BAJFINANCE,UP,,
BANKBARODA,UP,,
BEL,UP,,
BHARTIARTL,UP,2025.0,160974.00006350875
BHEL,UP,,
BOSCHLTD,UP,,
BPCL,UP,2025.0,463714.7744129584
BRITANNIA,UP,,
CANBK,UP,,
CHOLAFIN,UP,,
CIPLA,UP,,
COALINDIA,UP,2025.0,146345.62609782242
DABUR,UP,,
DIVISLAB,UP,,
DLF,UP,,
DMART,UP,,
DRREDDY,UP,,
EICHERMOT,UP,,
GAIL,UP,,
GODREJCP,UP,,
GRASIM,UP,,
HAL,UP,,
HAVELLS,UP,,
HCLTECH,UP,,
HDFCBANK,UP,2025.0,383660.5912128881
HDFCLIFE,UP,,
HEROMOTOCO,UP,,
HINDALCO,UP,2025.0,236210.69195992016
HINDUNILVR,UP,,
ICICIBANK,UP,2025.0,204848.01349280545
ICICIGI,UP,,
ICICIPRULI,UP,,
INDIGO,UP,,
INDUSINDBK,UP,,
INFY,UP,2025.0,169954.88635800724
IOC,UP,2025.0,788185.8308994151
IRCTC,UP,,
IRFC,UP,,
ITC,UP,,
JINDALSTEL,UP,,
JIOFIN,INSUFFICIENT_DATA,,
JSWENERGY,UP,,
JSWSTEEL,UP,2025.0,180896.76636493087
KOTAKBANK,UP,,
LICI,UP,2025.0,939823.8250557021
LODHA,DOWN,,
LT,UP,2025.0,259360.9717746498
LTIM,UP,,
M&M,UP,2025.0,152327.33161953575
MARUTI,UP,,
MOTHERSON,UP,,
NAUKRI,UP,,
NESTLEIND,UP,,
NHPC,UP,,
NTPC,UP,2025.0,195422.5166746149
ONGC,UP,2025.0,657616.4147352533
PFC,UP,,
PIDILITIND,UP,,
PNB,UP,,
POWERGRID,UP,,
RECLTD,UP,,
RELIANCE,UP,2025.0,991197.8043663792
SBILIFE,UP,,
SBIN,UP,2025.0,515376.64038369176
SHREECEM,UP,,
SHRIRAMFIN,UP,,
SIEMENS,UP,,
SUNPHARMA,UP,,
TATACONSUM,UP,,
TATAMOTORS,UP,2025.0,458079.30770812446
TATAPOWER,UP,,
TATASTEEL,UP,2025.0,231084.6896591595
TCS,UP,2025.0,267473.6194160946
TECHM,UP,,
TITAN,UP,,
TORNTPHARM,UP,,
TRENT,UP,,
TVSMOTOR,UP,,
ULTRACEMCO,UP,,
UNIONBANK,UP,,
UNITDSPR,UP,,
VBL,UP,,
VEDL,UP,2025.0,158842.98614098973
WIPRO,UP,,
ZOMATO,UP,,
ZYDUSLIFE,UP,,
